,local,global
years,0.00019784113322272035,0.21238100274405047
then,0.0009279580798062558,0.37451841296686017
where,0.001783615085557489,0.3813330970470161
over,0.002503985086960159,0.3415102103616332
made,0.0015620529261627081,0.33599445756752877
must,0.0007430671362667588,0.37743870620833886
well,0.001094948330980913,0.3569864643066204
know,0.0004988288088360957,0.26583161305178504
make,0.0011257433061277395,0.25692816191747603
life,0.002187713668071441,0.2905685369154005
part,0.001440549208765705,0.3300291447044925
work,0.002588723140462705,0.40580045172854207
used,0.002511411401814132,0.353818485210201
after,0.0005685446692967645,0.2965974185201308
those,0.0015051475640650248,0.38383486181918924
much,0.0008752487516086779,0.31490782788763716
many,0.0006963983171356138,0.3107703621239296
use,0.002198495738820189,0.3306953267278687
our,0.001196736905491358,0.3203478369158027
states,0.0009791464848501496,0.3270138609189768
like,0.002728135839114243,0.33860617570495666
state,0.001946614057580494,0.31983691661207425
does,0.000508048749026129,0.2697535820036451
however,0.0011909759525803067,0.36266026076583313
even,0.0007621519074928239,0.3526059776193172
number,0.0007545517040825588,0.2921912178058035
each,0.002231816583587378,0.2997327607497695
very,0.0006290904439357106,0.3054798280869341
own,0.0016161119024913082,0.26060580894770224
before,0.0005726750675457588,0.28191718039670977
take,0.0004341919383957967,0.3043893452025539
get,0.0005929970231627185,0.24395144622931597
university,0.000783304496710388,0.29019264817001
back,0.0006427268006673451,0.2594653743938856
united,0.0011587682099121045,0.3249999923960547
man,0.0012309457021011485,0.33922619269347776
right,0.0026231314094880436,0.29991125341152125
through,0.0016504866337395793,0.3222046764712183
during,0.0004383623434389287,0.2618416284977979
both,0.0020480379261946183,0.37780583900630627
being,0.0022018820195732975,0.4577133724790482
york,0.0013584765220074817,0.3694635959431103
just,0.0021658589084555895,0.39764126173902026
system,0.0026494223223963104,0.352573855574404
long,0.0020315816531120104,0.39929116932752984
under,0.0020281159341413823,0.2965561837082099
us,0.0004888952019941492,0.31950753788514086
good,0.0010719946063306824,0.2805096160872441
case,0.0016209032554635517,0.3564428776645897
now,0.0009422952287513587,0.3460579880342407
end,0.002354323473028909,0.29830845886360224
go,0.0008501619327315065,0.2842376578039979
women,0.002503534980444074,0.3632770000440435
day,0.0004984852359800654,0.28947298461553206
want,0.0016087029297771917,0.45329696027140864
order,0.0010497964324557595,0.3898851842246308
need,0.001300556679690651,0.35042916587993056
place,0.0014449082425319441,0.32769862988891274
year,0.0006924732282843874,0.32415975364805927
social,0.0015221995384925651,0.37219316810438263
important,0.0013282854543462603,0.2521188968842335
down,0.0007446584743687883,0.2769923672672737
come,0.0003484631481595823,0.3720640027353306
children,0.0012446259604555745,0.2806407002622908
think,0.0004931633126680498,0.32596712894972313
three,6.436783403706332e-05,0.2677853312532127
might,0.0007571305113128814,0.3291616314388328
found,0.0018495291197661251,0.37501649442190066
say,0.00033648659019081965,0.21960816665679106
fact,0.0012879545172788452,0.3966018271782691
press,0.0038746297032264997,0.5626077711321389
war,0.0016699349032690096,0.3238443646983986
government,0.0012031786789502535,0.2990092121234612
